window_size,num_edges,num_nodes,avg_degree
1,0,0,0.0
2,0,0,0.0
3,0,0,0.0
4,0,250,0.0
5,0,287,0.0
6,0,327,0.0
7,0,327,0.0
8,23,327,0.14067278287461774
9,125,327,0.764525993883792
10,363,327,2.220183486238532
11,591,327,3.614678899082569
12,753,327,4.605504587155964
13,896,327,5.480122324159021
14,1017,327,6.220183486238532
15,1124,327,6.874617737003058
16,1198,327,7.327217125382263
17,1273,327,7.7859327217125385
18,1352,327,8.269113149847096
19,1424,327,8.709480122324159
20,1480,327,9.051987767584098
21,1539,327,9.412844036697248
22,1592,327,9.737003058103976
23,1655,327,10.122324159021407
24,1714,327,10.483180428134556
25,1776,327,10.862385321100918
26,1830,327,11.192660550458715
27,1891,327,11.565749235474007
28,1930,327,11.80428134556575
29,1983,327,12.128440366972477
30,2032,327,12.428134556574923
31,2071,327,12.666666666666666
32,2123,327,12.984709480122325
33,2165,327,13.241590214067278
34,2205,327,13.486238532110091
35,2245,327,13.730886850152904
36,2275,327,13.914373088685016
37,2309,327,14.122324159021407
38,2348,327,14.36085626911315
39,2382,327,14.568807339449542
40,2417,327,14.782874617737003
41,2461,327,15.051987767584098
42,2495,327,15.259938837920489
43,2519,327,15.406727828746178
44,2561,327,15.663608562691131
45,2587,327,15.82262996941896
46,2616,327,16.0
47,2654,327,16.232415902140673
48,2682,327,16.40366972477064
49,2717,327,16.617737003058103
50,2748,327,16.807339449541285
51,2785,327,17.033639143730888
52,2814,327,17.211009174311926
53,2838,327,17.357798165137616
54,2871,327,17.559633027522935
55,2897,327,17.718654434250766
56,2925,327,17.889908256880734
57,2950,327,18.04281345565749
58,2977,327,18.207951070336392
59,3005,327,18.37920489296636
60,3033,327,18.55045871559633
61,3055,327,18.68501529051988
62,3086,327,18.874617737003057
63,3106,327,18.996941896024463
64,3135,327,19.174311926605505
65,3149,327,19.25993883792049
66,3180,327,19.44954128440367
67,3214,327,19.65749235474006
68,3242,327,19.828746177370032
69,3272,327,20.01223241590214
70,3295,327,20.152905198776757
71,3309,327,20.238532110091743
72,3332,327,20.37920489296636
